Job Title,Key Skills,Functional Area,Industry,Predicted_Category
Sales/Business Development Manager, Email marketing| Online marketing| customer loyalty| Internet marketing| Scheduling| Customer service| MS Office| Presentation skills| Business Executive| Online bidding,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Testing Engineer, automation framework| automation testing| qtp,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Practice Head / Practice Manager,html| css| javascript| php| asp.net| jsp| web technologies| python| sql| fortify| cissp| cisa| cism| sans| ceh| oscp| vapt| lpt| iso27001| ccna,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), Outbound| Service| Comp| Target| process| Technical Support Executive| Inbound calls| Domestic BPO| Business Executive,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Team Lead/Technical Lead, cloudera| python| Hive| mapreduce| spark| scala| Hadoop| hdfs| core java,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Senior Design Engineer, Civil| Engineering Management| Design Engineering| Substation Design| Project Leading| Engineering Services| manufacturing management,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",IT
Outside Consultant, Costing| Architecture| SAP APO| Agile| Computer science| Inventory| process integration| Diversity and Inclusion| Solution design| IT Expert,"IT Software - ERP , CRM","Agriculture, Dairy",IT
Associate/Senior Associate -(NonTechnical), Corporate identity| Illustrator| Social media| Technical skills| Box| Time| Photoshop| Business Executive| WHO,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",IT
Software Developer, jQuery| OOPS| Django| Javascript| Agile| Data Structure| Python| SQL,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Lecturer/Professor, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Software Developer, Printing| SMS| MLM| website| software| Content management system| CMS| Domain registration,IT Software - System Programming,"IT-Software, Software Services",IT
Training Manager, ERP| MS Data management| MIS| Reports| HR Policies| Recruitment| Talent Acquisition| Talent Management| Human Resources| PR MANAGER| PR MANAGER,"HR , Recruitment , Administration , IR",IT-Hardware & Networking,Others
Software Developer, Python| Django| PostgreSQL| AWS| Azure| Algorithm| Database Design| System Architecture,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Product Manager, CRM| Telecom| Billing| Amdocs| High level design| Business Analyst| Agile development| Agile scrum| Manager Technology,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, loaders| loader| dozer| dozers,"Sales , Retail , Business Development","Mining, Quarrying",Others
Lecturer/Professor, Counselor| Teaching| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Software Developer, JTAG| GIT| Linux| Networking| Debugging| Agile| Application development| Scrum| Subject Matter Expert| JIRA,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Host/Hostess, product strategy| pr| financial management| product development| customer engagement| product launch| market research| sales| customer support| competitive analysis,"Hotels , Restaurants","IT-Software, Software Services",Others
Commercial Manager, Estimation| Quantity Surveying| Cost Planning| Rate Analysis| Contract Administration| Contract Management| Tendering| Procurement| Contracts| Boq| Contract Negotiations,"Supply Chain , Logistics , Purchase , Materials","Real Estate, Property",Others
Fresher, call center| domestic bpo| inbound process| international bpo| back office| calling| data entry| computer operator| data entry operator| Customer Care| Customer Care Executive| Customer Service| Customer Support| Call Center Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer,Teamsite|Content Management|Adobe CQ5|HTML AND CSS|Wordpress|Omniture,IT Software - Client/Server Programming,IT-Software / Software Services,IT
Sales Executive/Officer, real estate| property| travel| customer handling| sales| direct sales,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Others
Counselor, Counselor| Mentor| Trainer| Advisor| Teaching,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Others
Sales Executive / Officer, bpo| bba| freelancing| business opportunity| domestic bpo| call center executive| cce| online promotion| tourism| advertising| internet marketing| mba| part time| sales| bpo fresher| ma| sales & marketing| online advertising| customer care executive,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Others
Software Developer, Automotive| Sensors| Embedded C| Debugging| SCM| functional safety| German language| Testing tools| Architecture| Management,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Automobile, Auto Anciliary, Auto Components",IT
Software Developer, java| php| javascript| ajax| jquery| blackberry| eclipse| mvc,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",IT
Sales Executive/Officer, Sales| Verification| Sales Executive| sales marketing,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals",Others
Software Developer, Business Analysts| Architects| Lead Developers| JAVA| development| XML| design| ios development| PL| SQL,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Outside Technical Consultant, Project| Management| Configuration| Software| Testing,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",IT
Software Developer,HTML| SQL| Javascript| Analytical skills| server| css| VB.NET| analytical| Database design| JSON| mca| Sql Server 2008| database| jQuery| web| design| oops| ASP.Net| applications,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Head/VP-Public Relations/Corporate Communication, hotel booking| travel booking| Outbound Calling| inbound calling,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Others
System Administrator, Linux| Windows| microsoft| DNS| Cloud computing| Monitoring| data security| Analytical| GCP| Cloud Services,IT Software - Other,"IT-Software, Software Services",IT
Maintenance Engineer, Fire Protection| Maintenance| Power Supply| Pipeline,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals",IT
Technical Architect,RTOS| EEPROM| C++| embedded developer| C| Microcontroller| firmware developer| UART| I2C| SPI| Firmware Development| Embedded Programming,IT Software - System Programming,IT-Hardware & Networking,IT
Sales/Business Development-Manager, Distribution| Process Compliance| Senior Management| Legal Compliance| Sales Management| Market Intelligence| Product Launch,"Financial Services , Banking , Investments , Insurance",Insurance,Others
Sales/Business Development Manager, Retail sales| Customer relationship| Relationship building| MS Office| Customer complaints| Corporate accounting| Client interfacing| Staff management| MIS reporting| MIS preparation,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Others
Fresher,non voice process|communication skills,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES,IT
Graphic/Web Designer, Internet technologies| Web technologies| Programming| E-commerce| Mobile applications,IT Software - Other,"Recruitment, Staffing",IT
Software Developer, MySQL| Javascript| PHP| SAT| sql| jQuery| Web technologies| SQL database| Coding| web| design| MVC| api,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Sales Executive/Officer, Forex| currency| currency derivatives| Corporate Sales| corporate marketing,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Others
Product Development Executive, Work Order,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Others
Team Lead/Technical Lead, core banking| core banking solution| Manual Testing| Cbs,IT Software - Other,"IT-Software, Software Services",IT
Software Developer, c#| mvc| .Net,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
HR Executive, HR| Recruitment| IR Issues| Administration Work| Attendance| Communication Skills| MS Office| Training and Development,"HR , Recruitment , Administration , IR","Education, Teaching, Training",Others
Accounts Executive/Accountant, Accounting| Vendor Payments| Finance| Tally| Banking| Deposits,"Accounts , Finance , Tax , Company Secretary , Audit","Automobile, Auto Anciliary, Auto Components",Others
Software Developer, Javascript| jQuery| Workflow| Coding| Powershell| Branding| Sharepoint| Application| Customization| Tracing,IT Software - Other,"IT-Software, Software Services",IT
Customer Support Engineer/Technician, Maintenance| IT Helpdesk| Customer Support| call coordinator| Customer care| call center| telecaller| telecalling| customer executive| telecom| voice,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,IT
Anaesthetist, Anesthesia| Critical Care| ICU| Emergency,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Healthcare
System Administrator, Juniper| System Engineering| windows| CCNA| Firewall| system administration| Log Analysis| Desktop Support| Patch Management| Cisco| sql database| Windows System Administration,"IT Software - Application Programming , Maintenance","Automobile, Auto Anciliary, Auto Components",IT
Software Developer, Process design| Computer science| GIT| ISO| Healthcare| Customer service| Document management| ANSI| Automotive| Analytics,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",IT
Functional Outside Consultant, ABAP| Debugging| Billing| EDI| Data migration| Ale| Logistics| SAP implementation| Warehouse management| OTC,"IT Software - ERP , CRM","IT-Software, Software Services",IT
Technical Architect, SSIS| SSRS| SSAS| MS SQL Server| MSBI| Architecting| OLAP| Reporting Services| Data Warehousing| Data Modeling,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",IT
Trainer, Training Needs| Job Analysis| HR| Training Management,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Software Developer,Core Java|SCALA|Computer Science|SQL Queries|Unix Shell Scripting|Spark|Postgres|AWS|Python,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Accounts Executive/Accountant,accountant| accounting| tally erp 9| b.com| tally erp| m.com| manufacturing| prime| account assistant| industrial| accounts| tally,"Accounts , Finance , Tax , Company Secretary , Audit","Industrial Products, Heavy Machinery",Others
Finance Executive, Cost Accounting| Business Forecasting| Tally| Financial Analysis| Excel| Finance| Preparing Financial Statements| financial reporting| Budgeting| Variance Analysis,"Accounts , Finance , Tax , Company Secretary , Audit",Other,Others
Software Developer,Forms| ERP| Textile| IT| ERP System| Software Development| Visual Basic| IT Manager| sql 2008| Database| MS SQL Server| IT Management,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Industrial/Labour Relations Manager,Training|Auditing|Administration|Audit Compliance|MIS Reporting|Labour Laws|Trade Union|Report Preparation,"HR , Recruitment , Administration , IR",Construction / Engineering / Cement / Metals,Others
Software Developer,J2Ee| Linux| XML| rest| technical| Eclipse| specification| Windows| Troubleshooting| Technical documentation| Core Java| NetBeans| database| java| application| Coding| web,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Operations Manager, Demat| Operations Manager| Back office| NCFM| Module| Business Executive| BASIC,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Others
Solution Architect / Enterprise Architect, Azure| Cloud Computing| Cloud| System Implementation| Hyper - V| OpenStack| AWS| Solution Architect,IT Software - Client/Server Programming,"IT-Software, Software Services",IT
Sales Executive/Officer, Incentives| Field Sales| ESIC| HR| sales| Sales Executive Activities,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Associate/Senior Associate -(Technical), Outbound| Antivirus| Technical support| process| Sales| Senior Executive| Technical| Inbound calls| US shift| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Wealth Manager, Risk Assessment| Customer Experience| Policy Analysis| Subject Matter Expertise| Fraud Management| Data Mining| Senior Management| Fraud Detection,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Others
Software Developer, Javascript| jQuery| Ajax| UX| Version control| Control system| Photoshop| Web services| GPRS| SVN,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, C#| VB.NET| ASP.Net| .Net| MVC| JQuery| VB| SQL,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Medical Officer, intensive care| critical care| icu,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Healthcare
Software Developer,Social media| Technical process| Design development| Usage| development| website| html5| bootstrap| PDF| jQuery| Front end| web| Javascript| Web designing| developer| support| css3,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Database Architect/Designer, Data Science| Java| R| SAS| Scala| Statistical Modeling| PhD| Machine Learning| Python,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",IT
Quality Assurance/Quality Control Manager, TPM| Training| Modification| Top Management| Business excellence| Marketing Executive| Black Belt| Monitoring| Process implementation| Six sigma,"Production , Manufacturing , Maintenance","Construction, Engineering, Cement, Metals",Others
Software Developer, Windows| PHP| XML| Eclipse| developing| JSON| networking| ios| jquery| analytics| cloud| java| web| design| Web designing| Application development| api| programming| development| mobile| adobe| Apache| Android| application| developer| Photoshop,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Operations Manager, it sales| online marketing| team management| luxury| events| e - commerce| digital marketing| google analytics| online retail,"ITES , BPO , KPO , LPO , Customer Service , Operations","Retail, Wholesale",IT
Civil Engineer-Highway/Roadway, Staad| CAD| MEP| Software design| Architecture| Technical design| Infrastructure| Project scheduling| Consultancy| Design analysis,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals",IT
Team Lead/Technical Lead, Java| Multithreading| Design Patterns| OOPS| SaaS| Spring Boot| Algorithm| AWS| Data Structure,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Outside Consultant, Process Analysis| Consultant,"IT Software - ERP , CRM","FMCG, Foods, Beverage",Others
Program Manager, Product Development| Program Management| Program Delivery| Mobile Development| Stakeholder Management| IOT,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Analyst, Bloomberg| Equity research| Analytical| Finance| Research| Operations| Business Executive| Private equity| Ideas,"Financial Services , Banking , Investments , Insurance","Education, Teaching, Training",Others
Service/Maintenance Engineer, STP| Electrical Incharge| Electrical maintenance,"Production , Manufacturing , Maintenance","Recruitment, Staffing",IT
Chartered Accountant, Client Management| Internal Audit| Risk Mitigation| Accounting| Business Process| Chartered Accountant| Statutory Laws| Quality Assurance| Risk Control| Auditing,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Others
Client Servicing Executive, Market research| Monitoring| Strategic thinking| National| SupportReport preparation| Target| Trainee| Regional Coordinator,"Marketing , Advertising , MR , PR , Media Planning","Recruitment, Staffing",Marketing
Client Servicing/Key Account Manager, Industrial sales,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Others
Software Developer,Health insurance| Web development| Computer science| Analytical skills| development| analytical| software| Zend| tools| javascript| CSS3| jQuery| Web services| Version control| web| optimization| Agile| jira,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales Executive/Officer, Lead Generation| Sales,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals",Others
Regional Sales Manager, Sales| Channel Sales| Distribution Sales| Dealer Sales| Channel Management| Distribution Management| Dealer| Distributor| Channel Distribution| Channel development,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Others
Content Developer, website| photoshop| social media| employer branding| photo editing| writing| english| web content writing,"Journalism , Editing , Content","Media, Entertainment, Internet",IT
Sales Executive/Officer, concrete| real estate| corporate real estate| real estate sales| furniture| fittings| ready mix concrete| kitchen| commercial real estate,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Others
Telecalling/Telemarketing Executive, Voice| sales| Counselling| Admissions| Counsellor| Education| bpo| Telecalling| Telemarketing| Inbound| Outbound| caller| cce| Fresher| uk| us| sale| business development| bde| lead generation| counseling,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Others
Software Developer, Java| Hibernate| JavaScript| PL SQL| JBOSS server| Spring| Oracle| JSF,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Design Engineer, instrumentation| power plant| engineering design| boiler| turbine| operations| spare parts| inventory control| copyright| staffing,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",IT
Software Developer, SAP Workflow| ABAP,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Head/VP/GM/National Manager -Sales, marketing executive| distributors| customer profiling| sales strategy| Business Development Executive| market research| Business Development| sales executive,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Software Developer,google cloudstack|python|orchestration|Js|ansible|puppet|amazon ec2|Linux|devops|openstack|shell scripting|Ruby|unix,IT Software - System Programming,IT-Software / Software Services,IT
Head/VP/GM/National Manager -Sales, Language Editing| Communication Skills| Sales Process| Business Development| Channel Distribution| New Business| Market Intelligence| Market Research| Client Relationship| CRM,"Sales , Retail , Business Development","Education, Teaching, Training",Others
Sales/Business Development Manager, Sales Analysis| Service Quality| Client Servicing| Key Account Management| Inside Sales| Customer Satisfaction| client relationship| New Business| corporate sales| Sales Executive Activities| Marketing,"Sales , Retail , Business Development","Ceramics, Sanitary ware",Others
Software Developer, RTOS| Configuration management| Ethernet| Computer science| GIT| UDS| Debugging| Scrum| JIRA| SPI,IT Software - Other,"Automobile, Auto Anciliary, Auto Components",IT
Manager / Sr Manager - Administration, Management| Administration| Team Handling| team management| Operations,"HR , Recruitment , Administration , IR","Medical, Healthcare, Hospitals",Others
Associate/Senior Associate -(NonTechnical),b2b| US Shift| Website| bpo sales| selling| B2B Sales| Night Shift| Morning shift| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Sales/Business Development Manager, Direct sales| Telecom| Target| Networking| Analytical| Technical| Presentable| Business Executive,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Fresher, Direct sales| Management Trainee| change| Business Executive,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Others
Sales/Business Development Manager, sales management| target achievement| crm| business development| industrial sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Others
Software Developer, software development| javascript| jquery| development| functions| software| consulting| developing| it| microsoft| windows| application development| messaging| database| bfsi| application| web| service| oops| .net| developer| net| architecture,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Business Analyst,Consulting| Market research| Secondary research| Procurement| Lead Analyst| Workflow| Author| Sales| Training| B2B,"Strategy , Management Consulting , Corporate Planning","KPO, Research, Analytics",Others
Project Manager-Telecom, Data | Center | projects | Electrical | infrastructure | design | project | execution | build | supervision,"Site Engineering , Project Management","Strategy, Management Consulting Firms",IT
Software Developer,Node.js| Javascript| C++| NoSQL| J2EE| RDBMS| OOPS| Java,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), admin manager| coordinator| receptionist| office coordinator| executive assistant| Office Assistant| admin| admin executive,"ITES , BPO , KPO , LPO , Customer Service , Operations","Travel , Hotels , Restaurants , Airlines , Railways",Others
Medical Officer,ICD - 10| medical coding| ccs| cpc| general surgery| cic| ED,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Healthcare
Head/VP/GM-Finance/Audit, Automation| Analytical| Trend analysis| Risk management| MS Office| Fraud detection| fraud investigation| Team building| Monitoring| Product support,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Others
Business Alliances Manager, Web technologies| Senior Analyst| Risk assessment| Legal| TAS| Competitive intelligence| Management| Operations| Marketing,"Marketing , Advertising , MR , PR , Media Planning","Pharma, Biotech, Clinical Research",Marketing
Software Developer, Software Engineering,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Project Lead, Presales| Supply chain| PDF| Oracle e-business suite| Interpersonal skills| Architectural design| Analytical skills| Procurement| Management| Purchase,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), bpo| non voice process| international bpo| bpo voice| customer support executive| customer service| customer care| international voice| customer support| cse| non voice| bpo non voice| customer care executive,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer, SAP BW| SAP BI| Technical support| Data modeling| Coding| Subject Matter Expert| Technical documentation| Pharma| Reporting tools| Web intelligence,"IT Software - Application Programming , Maintenance","Chemicals, PetroChemical, Plastic, Rubber",IT
Software Developer, C++| Graphics| Photoshop| c#| development| C| adobe creative suite| level| testing| Programming| mobile| adobe| game development| quality| scripting| Version control| java| Illustrator| developer| audio| flash,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Manager - Market Research / Consumer Insights / Industry Analysis, Product Management| Marketing Campaigns| Digital Marketing| Data Analyst| Digital Analytics| Deep Learning| R| Sales| Excel| Data Analysis| Data Modeling| Consumer Insights| Python,"Marketing , Advertising , MR , PR , Media Planning","Internet, Ecommerce",Marketing
Analytics Manager, Predictive Modelling| Modelling| SAS| Regression| linear regression| Clustering| segmentation,Analytics & Business Intelligence,"Banking, Financial Services, Broking",Others
Recruitment Manager, Delivery Operations| Team Building| Hiring| Senior Management| Recruitment Management| Business Development| Client Relationship| Operations Management,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Chartered Accountant, BPO| Supervisor| US GAAP| Accounting| Project management| Management| IFRS| Continuous improvement| Auditing,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Others
Technical Support Engineer, Microstrategy| Change Management| System Implementation| Applications Support| ITIL| Production Support,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Fresher, Electrical Draughtsman,"Site Engineering , Project Management","Recruitment, Staffing",IT
Commis, dominos| Cooking| continental cook| Chef| commis chef| indian curry| hotel,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Others
Software Developer,Angularjs|Spring Mvc|Spring Boot|Spring Security,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Transport/Distribution Manager, user experience| license| driving,"Supply Chain , Logistics , Purchase , Materials","FMCG, Foods, Beverage",Others
Client Servicing/Key Account Manager, Product management| Solution sales| Lead generation| Cloud computing| Sales strategy| Executive| management| Relationship building| Sales lead generation| Analytics,"Sales , Retail , Business Development","Oil and Gas, Energy, Power, Infrastructure",Others
Associate/Senior Associate -(NonTechnical), captive unit| chat process| international bpo| customer support executive| email process| Voice Process| blended process| voice based process| Customer Support| chat| international call center| communication skills| UK Process,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Counselor, Education Industry| Overseas Education| Counselling,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Software Developer, linux| dns| voip| ftp| tftp| tcp ip| networking s| tware| ,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Team Lead/Technical Lead, spring boot| Automation| github| PAAS| Consulting| Packaging| splunk| JEE| cloud foundry| Monitoring,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Software Developer,Linux| MySQL| Telecom| PDF| J2Ee| Spring| spring boot| angularjs| Cloud,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Design patterns| Symfony| MVC framework| PHP| ExtJs,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer,AutoSar| Misra| BMS| Embedded| SIP| Iso 26262,"IT Software - Application Programming , Maintenance","Automobile, Auto Anciliary, Auto Components",IT
Product Manager,Marketing Management|Consumer Durables|Product Management|Product Marketing|CD marketing|consumer durable marketing,"Financial Services , Banking , Investments , Insurance",Banking / Financial Services / Broking,Others
Chartered Accountant, Assurance| Due diligence| Automation| US GAAP| Treasury management| Financial reporting| Project management| Financial risk management| IFRS| Auditing,"Accounts , Finance , Tax , Company Secretary , Audit","Electricals, Switchgears",Others
HR Manager, Induction| Human Resource Management| HR| Recruitment,"HR , Recruitment , Administration , IR","Gems, Jewellery",Others
Software Developer, JSON| XML| Application development| Object oriented design| rest| development| testing| Programming| mobile| developing| IOS| Business Executive| iphone| cocoa| Publishing| Multithreading| application| design| SDK| applications,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, Direct sales| Diesel generator| Capital goods,"Sales , Retail , Business Development","Oil and Gas, Energy, Power, Infrastructure",Others
Software Developer, Front end| developer,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), Help Desk| Customer Service| data analysis| customer relationship| access controls| Vendor Management,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Software Developer, xml| javascript| php| software| wordpress| ajax| jquery| coding| web| optimization| design patterns| design| debugging| html| data structures| programming| development| interfaces| testing| mobile| xhtml| quality| application| service| developer| support,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Engineering Manager, Simulink Modeling| Real Time Simulation System| Project Engineer| AutoCAD| Adobe,"Production , Manufacturing , Maintenance","Internet, Ecommerce",IT
Associate/Senior Associate -(NonTechnical), Outbound| Technical support| Night shift| English| Email| International voice process| Domestic BPO| US shift| Troubleshooting| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Software Developer, oracle| java se| system software| wpf| sql server| application development,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
ERP Consultant, Integration| SAP SD| SAP FICO Implementation| SAP MM Module,"IT Software - Application Programming , Maintenance",Medical Devices / Equipments,IT
Associate/Senior Associate -(Technical), medical coders| medical coding| medical coder| cpc,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer, .Net| Javascript| SQL| Continuous Integration| Continuous Delivery| .Net Developer,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Client Servicing/Key Account Manager, Analytical| Channel sales| Customer service| Working capital management| consumer goods| Retail sales,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Head/VP/GM/National Manager -Sales, Business Development Manager| Networking| Market research| Business intelligence| New business development| Operations| Market intelligence| Competitive intelligence| Sales| Management,"Sales , Retail , Business Development","Internet, Ecommerce",Others
Associate/Senior Associate -(NonTechnical), Outbound| Customer service| Technical support| Voice process| Customer Care Executive| Sales| Technical| Inbound voice process| Antivirus| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Software Developer, Java| Microservices| Rest| Web Services| NoSQL| Redis| Scalability| Software Engineering| Web Technologies| GIT,IT Software - Other,"IT-Software, Software Services",IT
Software Developer, data science| Unix| HTML| Perl| Android| Shell scripting| Data modeling| RDBMS| Stored procedures| Analytics,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",IT
Software Developer, Reconciliation| Back office| Troubleshooting| Network administration| Visa| Cash management| Windows| VB| Financial services| SQL,"IT Software - ERP , CRM","Recruitment, Staffing",IT
Associate/Senior Associate -(NonTechnical),customer support|customer service|calling|issue resolution|voice process|voice support|international call center|international bpo|call centre|customer care|english|voice|international voice process|international voice support,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES,IT
Recruitment Manager, Recruitment| Talent Acquisition| Head Hunting| IT Staffing| Training| Team Leading| Team Handling| Performance Management| People Management| Conflict Management,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Associate/Senior Associate -(Technical), Outbound| Antivirus| Technical support| process| Sales| Inbound calls| US shift| Medical| Comp| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Recruitment Executive, MIS| Customer service| Recruitment| Staffing| data security| Quality audit| Standard operating procedures| Subject Matter Expert| Continuous improvement| Auditing,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Project Manager-Production/Manufacturing/Maintenance, Project Coordinator| Civil construction| Construction| Civil| Project management,"Site Engineering , Project Management","BPO, Call Centre, ITeS",IT
Associate/Senior Associate -(Technical), Software Troubleshooting| OS Installation| Networking| Desktop Support| Helpdesk| Technical Support| Hardware| Network Support| IT Support| Network Printer Installation,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Design Engineer, PLM| Delmia| Simulation| JSP| Debugging| Manufacturing engineering| MFC| Outsourcing| User acceptance testing| Operations,"Engineering Design , R&D","IT-Software, Software Services",IT
Software Developer, Presentation Skills| Promotions| Public Relations| Customer Experience| Strategy| Business Development Management| IT Sales,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales Coordinator, Invoicing| Billing| Quotation| Accounts Receivable,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Others
Head/VP/GM - Analytics & BI, analytics reporting| R| data analytics| SAS| operational risk| data visualization| Machine Learning| SQL,Analytics & Business Intelligence,"Banking, Financial Services, Broking",Others
